t_ms,H,T,P,D,RPM,RAW,age,RS
29,19.7,20.0,3984,-0.1,6580,27.6,87,6597
97,19.9,20.0,3976,0.9,6580,27.4,4,6585
205,19.6,20.0,3968,0.2,6645,27.3,81,6594
282,19.6,20.0,3986,-0.6,6578,27.9,16,6603
420,19.3,20.0,3993,-1.4,6644,27.8,89,6614
497,19.1,20.0,3999,-2.2,6581,28.0,6,6624
620,19.2,20.0,3997,-1.9,6645,27.4,90,6620
696,19.9,20.0,3966,2.1,6581,27.1,7,6573
820,19.9,20.0,3958,3.1,6641,27.2,90,6563
897,19.9,20.0,3966,1.8,6571,27.1,7,6576
1020,20.3,20.0,3963,1.9,6629,26.4,73,6572
1096,20.4,20.0,3963,1.8,6560,27.0,8,6571
