t_ms,H,T,P,D,RPM,RAW,age,RS
64,11.3,15.0,4047,-0.5,6644,31.4,79,6671
130,11.8,15.0,4031,1.4,6643,30.5,15,6647
256,12.4,15.0,4009,4.1,6699,31.2,88,6614
334,12.4,15.0,4012,3.5,6629,30.3,5,6620
460,12.2,15.0,4007,2.4,6687,30.9,89,6633
539,12.3,15.0,4022,0.0,6684,30.9,7,6657
650,12.6,15.0,4020,0.1,6684,30.4,61,6653
729,12.5,15.0,4032,0.2,6621,30.8,14,6652
855,12.2,15.0,4042,-0.8,6618,30.6,74,6666
934,12.5,15.0,4021,0.2,6685,30.1,9,6653
1059,12.5,15.0,4032,0.6,6618,30.2,75,6650
1138,12.2,15.0,4039,-0.3,6619,30.7,11,6661
1264,12.4,15.0,4039,-0.4,6618,30.5,76,6660
1342,12.7,15.0,4031,0.7,6618,30.1,12,6646
1450,13.0,15.0,4006,2.1,6684,30.3,78,6630
1545,13.0,15.0,4024,1.2,6619,29.5,13,6639
1657,13.1,15.0,4008,1.5,6683,29.5,78,6635
1734,13.0,15.0,4014,0.6,6684,30.6,14,6645
1860,12.8,15.0,4022,-0.5,6684,29.9,79,6657
1939,13.2,15.0,4014,0.4,6681,29.7,14,6645
2064,13.5,15.0,4016,1.6,6618,29.7,80,6629
2143,13.5,15.0,4004,1.6,6680,29.8,15,6630
2250,13.6,15.0,4017,1.3,6613,29.6,74,6632
2328,13.4,15.0,4026,0.2,6610,29.9,9,6645
2456,13.2,15.0,4037,-1.3,6613,30.1,82,6662
2533,13.1,15.0,4041,-1.6,6613,29.5,17,6666
2658,13.3,15.0,4035,-0.9,6680,29.5,83,6657
2738,13.1,15.0,4036,-0.7,6616,29.8,0,6657
2864,13.1,15.0,4021,-0.4,6681,30.1,83,6654
2941,12.7,15.0,4029,-1.4,6681,30.4,0,6669
3063,12.8,15.0,4030,-1.5,6687,30.0,84,6668
3141,13.0,15.0,4021,-0.1,6685,29.9,2,6653
3251,13.0,15.0,4016,0.6,6619,30.1,85,6645
3330,12.9,15.0,4019,0.2,6684,30.2,2,6650
3456,13.0,15.0,4029,0.6,6619,30.1,79,6646
3533,12.8,15.0,4036,-0.2,6616,30.3,14,6656
3660,12.8,15.0,4040,-0.8,6619,30.1,87,6662
3737,12.8,15.0,4038,-0.4,6618,29.8,4,6658
3860,13.0,15.0,4021,0.1,6684,30.1,88,6651
3939,12.8,15.0,4037,-0.3,6621,30.5,5,6657
4064,12.6,15.0,4028,-0.6,6687,30.4,89,6662
4141,12.5,15.0,4031,-1.0,6687,30.4,6,6667
4265,12.6,15.0,4029,-0.7,6691,30.6,90,6663
4343,12.6,15.0,4024,0.1,6691,30.5,7,6656
4451,12.5,15.0,4038,-0.0,6626,30.5,90,6658
4545,12.7,15.0,4021,0.3,6691,30.9,7,6653
4655,12.2,15.0,4042,-0.5,6628,30.4,73,6666
4734,12.5,15.0,4038,-0.0,6628,30.6,8,6658
4860,12.5,15.0,4037,0.1,6694,30.3,74,6658
4936,12.8,15.0,4027,1.4,6628,30.3,9,6641
5062,12.8,15.0,4014,1.4,6690,30.3,75,6641
5139,13.2,15.0,4008,1.7,6690,30.0,10,6634
5264,13.2,15.0,4006,2.0,6685,30.0,76,6631
5341,13.0,15.0,4019,0.1,6681,30.1,11,6652
5452,13.1,15.0,4033,-0.2,6619,30.1,77,6654
5545,12.7,15.0,4032,-1.5,6685,30.4,12,6672
5655,12.7,15.0,4047,-1.8,6623,30.5,78,6674
5730,12.6,15.0,4046,-1.5,6625,30.2,13,6673
5857,12.7,15.0,4040,-0.6,6626,30.6,79,6663
5935,12.5,15.0,4039,-0.3,6626,30.5,14,6661
6062,12.5,15.0,4027,-0.3,6691,30.4,80,6661
6139,12.8,15.0,4033,0.6,6626,30.2,15,6650
6264,12.8,15.0,4016,1.1,6690,30.1,80,6644
6342,12.8,15.0,4016,1.1,6688,30.6,16,6644
6451,13.1,15.0,4014,1.1,6621,30.3,81,6642
6545,13.0,15.0,4017,0.8,6681,30.4,17,6646
6654,12.8,15.0,4038,-0.4,6619,29.9,82,6659
6746,13.0,15.0,4035,0.1,6619,30.0,18,6653
6857,12.8,15.0,4039,-0.3,6683,30.3,76,6659
6949,12.5,15.0,4050,-1.6,6616,30.2,12,6675
7055,12.7,15.0,4049,-1.5,6684,30.3,84,6673
7134,12.4,15.0,4047,-0.9,6623,30.7,2,6669
7259,12.6,15.0,4031,-0.5,6691,30.3,85,6663
7338,12.6,15.0,4025,0.3,6693,30.9,2,6656
7448,12.4,15.0,4043,-0.2,6628,30.4,73,6663
7525,12.8,15.0,4034,0.7,6629,30.1,8,6650
7651,12.6,15.0,4034,0.8,6628,30.4,87,6651
7745,12.3,15.0,4035,-1.2,6693,30.6,4,6674
7855,12.5,15.0,4048,-1.3,6631,30.4,88,6673
7933,12.2,15.0,4050,-1.3,6632,30.5,5,6676
8056,12.4,15.0,4033,-0.9,6699,30.5,89,6670
8135,12.3,15.0,4041,-0.0,6634,30.7,6,6663
8258,12.3,15.0,4027,0.0,6635,30.2,83,6662
8336,12.5,15.0,4023,0.6,6699,30.2,1,6655
8459,12.8,15.0,4012,1.7,6629,30.1,73,6640
8536,12.6,15.0,4019,0.9,6691,30.0,9,6651
8661,12.8,15.0,4033,0.6,6623,30.6,74,6651
8739,12.8,15.0,4036,0.2,6622,30.1,10,6655
8848,13.0,15.0,4020,0.4,6687,29.8,63,6652
8928,13.1,15.0,4016,1.0,6687,30.1,16,6645
9054,12.9,15.0,4020,0.4,6685,30.4,70,6652
9130,12.8,15.0,4043,-0.9,6685,30.5,5,6667
9255,12.5,15.0,4037,-1.6,6690,30.5,78,6677
9333,12.5,15.0,4037,-1.5,6693,30.6,13,6676
9442,12.4,15.0,4050,-1.4,6632,30.6,66,6676
9519,12.4,15.0,4048,-0.8,6635,31.1,1,6671
9660,12.0,15.0,4051,-1.2,6638,31.2,80,6678
9738,12.0,15.0,4053,-1.4,6640,31.0,15,6681
9847,11.9,15.0,4038,-1.0,6706,31.3,68,6678
9925,12.3,15.0,4026,0.5,6708,30.9,4,6659
10049,11.8,15.0,4027,0.7,6708,31.7,76,6662
10126,11.9,15.0,4033,-0.3,6708,30.7,11,6671
10266,12.2,15.0,4023,0.8,6705,30.9,84,6657
10345,12.2,15.0,4023,0.9,6703,30.7,1,6656
10454,12.3,15.0,4033,1.1,6638,30.6,78,6653
10532,12.1,15.0,4040,0.2,6635,30.5,14,6665
10657,12.3,15.0,4040,0.1,6699,30.9,79,6664
