t_ms,H,T,P,D,RPM,RAW,age,RS
97,14.0,15.0,4008,1.8,6672,29.2,81,6636
168,14.9,15.0,3995,2.9,6671,27.7,17,6616
292,14.8,15.0,4002,3.9,6599,28.0,82,6607
370,15.2,15.0,3990,3.4,6659,27.4,17,6608
476,15.5,15.0,4000,3.6,6587,27.5,83,6603
568,16.5,15.0,3975,4.6,6647,26.7,1,6584
678,16.5,15.0,3986,4.9,6574,26.2,84,6580
756,17.1,15.0,3973,4.2,6635,25.6,2,6581
878,17.3,15.0,3984,4.3,6564,25.5,86,6578
969,17.2,15.0,3992,1.3,6623,26.0,3,6609
1078,17.1,15.0,4014,0.1,6561,26.1,87,6622
1156,17.3,15.0,4004,-0.4,6628,26.3,4,6624
1279,17.0,15.0,4023,-1.0,6568,25.6,88,6633
1356,16.8,15.0,4017,-1.6,6635,26.7,5,6642
1480,16.7,15.0,4032,-1.7,6577,26.5,89,6644
1555,16.7,15.0,4014,-1.0,6647,27.1,6,6637
1680,16.1,15.0,4036,-1.8,6589,26.8,90,6650
1757,15.5,15.0,4049,-3.1,6593,27.3,8,6669
1879,15.6,15.0,4052,-3.5,6602,27.7,73,6672
1957,15.4,15.0,4047,-2.5,6606,27.6,8,6664
2081,15.3,15.0,4043,-1.7,6675,28.1,74,6656
2158,15.3,15.0,4037,-0.8,6613,27.5,9,6648
2267,15.3,15.0,4030,0.2,6615,27.9,62,6638
2343,15.3,15.0,4017,0.2,6613,27.6,15,6638
2481,15.1,15.0,4018,0.2,6677,28.0,76,6640
2560,15.7,15.0,4011,0.9,6675,27.0,11,6628
2698,16.1,15.0,3994,2.9,6671,26.8,77,6604
2758,16.4,15.0,3985,3.9,6666,26.1,12,6590
2882,16.8,15.0,3979,4.3,6594,26.5,78,6583
2960,17.0,15.0,3984,3.1,6653,26.2,14,6592
3084,16.8,15.0,4006,2.0,6583,26.0,80,6605
3160,17.0,15.0,4000,0.7,6645,26.2,15,6616
3269,16.8,15.0,4021,-0.2,6581,26.1,74,6627
3361,16.8,15.0,4023,-0.5,6583,26.5,9,6630
3484,16.6,15.0,4033,-1.8,6586,26.3,82,6644
3561,16.9,15.0,4012,-0.3,6589,25.9,0,6626
3683,16.7,15.0,4021,-0.0,6591,26.8,83,6626
3760,16.5,15.0,4027,-0.7,6593,26.6,1,6634
3882,16.4,15.0,4028,-0.9,6596,26.6,85,6637
3959,16.1,15.0,4036,-1.7,6597,26.8,2,6648
4081,16.2,15.0,4034,-1.5,6665,26.9,86,6645
4158,15.9,15.0,4037,-1.7,6603,26.7,3,6650
4279,16.0,15.0,4021,-1.1,6669,27.0,87,6644
4356,15.7,15.0,4030,-0.4,6606,27.6,4,6639
4479,15.6,15.0,4023,-1.1,6672,27.1,88,6647
4556,16.1,15.0,4009,0.7,6669,26.9,5,6624
4679,16.2,15.0,4001,1.7,6665,26.8,89,6613
4756,16.7,15.0,3993,2.5,6660,26.0,7,6600
4880,17.2,15.0,3978,4.3,6587,25.4,74,6577
4957,17.8,15.0,3971,4.8,6645,25.1,9,6567
