t_ms,H,T,P,D,RPM,RAW,age,RS
62,15.1,15.0,3970,-0.4,6612,31.5,77,6593
129,16.1,15.0,3935,4.0,6547,31.0,13,6539
252,15.6,15.0,3951,1.9,6607,32.0,79,6565
331,16.0,15.0,3954,1.1,6543,31.1,14,6568
453,15.9,15.0,3956,0.9,6541,31.3,80,6572
529,15.9,15.0,3960,0.3,6541,30.8,16,6578
638,16.0,15.0,3943,0.9,6606,31.8,68,6571
716,14.9,15.0,3999,-4.8,6605,31.8,4,6638
856,15.3,15.0,3985,-2.7,6551,32.0,83,6614
934,15.0,15.0,3966,-1.2,6554,32.0,0,6601
1042,15.1,15.0,3972,-0.6,6558,31.4,84,6594
1134,14.4,15.0,3979,-2.9,6623,32.4,1,6624
1242,14.5,15.0,3993,-3.0,6565,32.4,85,6625
1335,14.2,15.0,3979,-2.5,6632,32.9,3,6623
1443,14.3,15.0,3987,-1.7,6571,32.3,87,6614
1536,14.5,15.0,3951,1.4,6638,32.8,4,6580
1645,14.3,15.0,3970,0.6,6571,33.0,88,6590
1722,14.7,15.0,3954,0.8,6571,31.9,6,6585
1845,15.0,15.0,3953,2.4,6567,31.9,89,6566
1922,15.1,15.0,3944,1.7,6564,31.3,7,6572
2046,15.5,15.0,3944,3.0,6557,32.4,74,6554
2123,14.9,15.0,3964,-1.4,6554,31.2,9,6604
2247,15.8,15.0,3949,2.0,6553,31.3,74,6562
2323,14.5,15.0,3979,-3.3,6612,32.2,9,6627
2446,15.1,15.0,3971,-2.4,6553,30.9,75,6612
2524,15.8,15.0,3928,3.5,6618,31.4,11,6546
2648,16.0,15.0,3925,3.8,6545,30.8,76,6541
2727,15.8,15.0,3943,1.0,6607,31.3,12,6571
2835,16.0,15.0,3959,0.4,6540,30.5,71,6576
2927,16.1,15.0,3949,-0.0,6603,30.8,6,6579
3053,16.2,15.0,3943,0.8,6602,31.2,79,6569
3131,16.3,15.0,3943,0.8,6602,30.7,15,6568
