t_ms,H,T,P,D,RPM,RAW,age,RS
128,16.7,15.0,3920,3.7,6603,30.8,80,6549
206,17.3,15.0,3932,3.1,6537,29.9,15,6549
330,17.0,15.0,3938,2.4,6533,30.5,81,6559
407,17.1,15.0,3937,0.6,6531,29.8,17,6576
515,16.9,15.0,3953,0.4,6597,30.7,76,6579
594,16.6,15.0,3973,-2.0,6535,30.5,11,6607
718,16.5,15.0,3973,-1.5,6543,30.7,84,6602
796,15.8,15.0,3969,-3.2,6610,32.4,1,6626
919,14.9,15.0,4022,-6.6,6561,32.4,85,6669
1011,15.4,15.0,3974,-1.2,6637,32.1,3,6610
1120,14.8,15.0,3993,-1.5,6578,32.8,86,6620
1196,14.3,15.0,3992,-2.9,6650,33.0,4,6638
1321,14.0,15.0,4011,-3.5,6597,33.0,88,6647
1397,13.9,15.0,3984,-1.4,6602,33.3,5,6627
1520,13.7,15.0,4004,-2.3,6606,33.0,89,6638
1597,14.0,15.0,3970,0.4,6607,32.7,7,6607
1720,14.0,15.0,3977,0.8,6671,33.1,90,6605
1812,13.8,15.0,3986,-0.7,6605,32.5,8,6622
1919,14.0,15.0,3961,0.6,6668,33.1,74,6606
1997,14.0,15.0,3976,0.1,6602,32.6,9,6612
2122,14.4,15.0,3945,1.9,6660,32.8,75,6590
2201,14.1,15.0,3972,-0.1,6653,32.8,11,6612
2326,14.4,15.0,3953,0.5,6650,32.2,76,6604
2402,14.3,15.0,3968,0.1,6647,32.7,12,6608
2528,14.6,15.0,3950,0.5,6644,32.0,78,6601
2605,14.1,15.0,3978,-1.2,6643,32.2,13,6624
2713,14.7,15.0,3956,-0.4,6578,31.4,72,6610
2791,14.4,15.0,3955,0.0,6641,32.7,7,6608
2916,14.6,15.0,3970,-0.5,6577,31.6,73,6611
2995,14.6,15.0,3952,0.2,6643,32.4,9,6605
3119,14.1,15.0,3971,-2.1,6644,32.7,82,6632
3198,14.6,15.0,3955,0.1,6645,32.7,17,6606
3321,14.1,15.0,3965,-1.0,6583,32.7,83,6622
3399,14.0,15.0,3966,-1.2,6647,33.2,0,6625
3523,13.9,15.0,3983,-1.4,6584,33.0,84,6627
3601,14.2,15.0,3955,0.8,6648,33.5,1,6603
3726,14.0,15.0,3974,0.0,6581,33.0,85,6613
3805,14.0,15.0,3965,-0.5,6645,33.1,3,6618
3930,13.9,15.0,3980,-0.6,6580,33.1,87,6620
4008,13.6,15.0,3977,-1.7,6645,33.3,4,6634
4131,13.7,15.0,3989,-1.4,6586,33.8,88,6631
4209,13.2,15.0,3986,-2.5,6587,33.9,5,6646
4317,13.4,15.0,3996,-2.0,6596,33.5,89,6640
4410,13.5,15.0,3968,0.3,6597,33.5,7,6616
4519,13.5,15.0,3977,0.5,6599,33.6,91,6614
4596,13.2,15.0,3973,-0.8,6599,34.0,8,6630
4719,13.3,15.0,3985,-0.9,6665,33.7,74,6630
4811,13.1,15.0,3988,-1.1,6603,34.0,9,6634
4920,12.7,15.0,3988,-2.7,6672,34.3,75,6654
4998,12.2,15.0,4008,-3.2,6610,34.8,10,6664
5123,12.2,15.0,3995,-3.1,6681,35.3,76,6664
5203,11.9,15.0,4004,-2.1,6685,35.2,11,6657
5326,11.7,15.0,3993,-2.0,6688,35.4,76,6659
5405,11.2,15.0,4000,-2.6,6691,36.0,12,6670
5527,11.0,15.0,4020,-3.3,6629,36.3,77,6679
5606,11.2,15.0,3984,0.0,6697,35.7,13,6643
5728,11.6,15.0,3977,2.1,6628,35.6,78,6619
5806,11.3,15.0,3975,0.5,6622,35.4,13,6639
5915,11.6,15.0,3971,0.5,6683,35.0,72,6635
5993,11.7,15.0,3981,1.0,6680,35.2,7,6630
6119,11.8,15.0,3962,1.5,6675,35.3,80,6624
6198,12.2,15.0,3969,2.0,6606,34.9,15,6616
6323,12.3,15.0,3951,2.5,6663,34.3,81,6610
6398,12.6,15.0,3964,2.2,6657,34.6,16,6610
6523,12.6,15.0,3956,1.6,6650,34.6,81,6616
6601,12.3,15.0,3984,-0.3,6645,34.0,17,6638
6727,12.8,15.0,3964,0.7,6644,33.7,82,6623
6805,12.9,15.0,3964,1.1,6643,33.9,0,6618
6943,13.1,15.0,3957,1.8,6641,34.0,84,6609
