t_ms,H,T,P,D,RPM,RAW,age,RS
84,15.0,15.0,3983,0.6,6574,32.0,4,6595
208,15.0,15.0,3977,1.3,6638,31.8,87,6588
285,14.9,15.0,3978,1.2,6574,32.4,5,6590
410,14.7,15.0,3985,0.2,6638,32.4,89,6602
487,15.1,15.0,3980,0.6,6573,32.1,6,6594
611,15.0,15.0,3984,0.2,6637,31.9,90,6600
687,15.7,15.0,3965,2.2,6570,31.2,7,6572
810,15.9,15.0,3956,3.3,6628,30.8,73,6559
888,16.1,15.0,3959,2.6,6558,30.7,9,6564
1011,16.4,15.0,3955,2.9,6618,30.8,75,6559
1088,16.5,15.0,3963,1.5,6551,30.4,10,6572
1196,16.6,15.0,3962,1.4,6548,30.0,76,6570
1290,16.9,15.0,3958,1.9,6545,30.5,11,6563
1397,16.6,15.0,3956,0.5,6609,30.0,70,6580
1474,17.1,15.0,3962,1.1,6545,30.6,5,6569
1597,16.5,15.0,3975,-0.3,6545,30.8,78,6589
1688,16.8,15.0,3959,-0.3,6548,30.4,14,6585
1797,16.9,15.0,3969,0.0,6550,30.1,79,6582
1890,16.4,15.0,3966,-0.9,6613,30.5,15,6596
1999,16.5,15.0,3980,-1.2,6553,30.7,80,6598
2090,16.5,15.0,3965,-0.9,6618,30.6,16,6594
2200,16.3,15.0,3967,-0.9,6557,30.6,82,6597
2277,16.5,15.0,3960,-0.0,6622,30.7,17,6585
2403,16.4,15.0,3960,0.0,6558,30.4,83,6587
2481,16.3,15.0,3961,-0.1,6622,30.3,0,6588
2604,16.5,15.0,3958,0.2,6557,30.7,84,6583
2683,16.5,15.0,3959,0.1,6619,30.3,2,6584
2805,16.7,15.0,3953,0.7,6557,30.6,86,6576
2883,16.7,15.0,3952,1.0,6618,30.6,3,6574
2993,16.7,15.0,3965,0.8,6553,30.3,80,6576
3072,16.7,15.0,3954,0.4,6616,29.7,15,6579
3211,16.9,15.0,3951,0.6,6616,30.1,88,6575
3287,17.0,15.0,3951,0.5,6616,30.2,5,6575
3397,16.8,15.0,3952,0.5,6615,30.7,89,6576
3488,16.6,15.0,3966,-1.5,6615,30.5,7,6599
3612,16.6,15.0,3965,-1.1,6615,30.7,90,6595
3689,16.2,15.0,3988,-2.3,6618,30.2,8,6611
3798,16.5,15.0,3965,-1.0,6619,29.8,74,6595
3890,16.8,15.0,3959,1.7,6621,30.5,9,6565
3998,16.5,15.0,3951,1.2,6618,30.6,75,6573
4091,16.5,15.0,3967,0.5,6554,31.0,10,6579
4200,16.2,15.0,3968,-1.4,6621,30.5,76,6602
4277,16.1,15.0,3980,-1.2,6557,30.8,11,6600
4399,16.1,15.0,3981,-1.2,6558,31.1,56,6600
4460,15.8,15.0,3974,-1.9,6561,31.3,10,6610
4598,15.7,15.0,3976,-1.9,6628,31.0,79,6612
4690,15.4,15.0,3989,-1.8,6568,31.5,14,6613
4798,15.8,15.0,3967,-0.8,6635,31.1,73,6600
4875,15.6,15.0,3974,0.3,6635,31.6,8,6590
4985,15.4,15.0,3980,-0.5,6570,32.0,68,6600
5075,15.6,15.0,3967,-0.8,6637,31.6,4,6601
5198,15.4,15.0,3963,0.0,6635,31.8,75,6595
5276,15.3,15.0,3985,-1.2,6637,31.1,11,6609
5400,15.5,15.0,3962,0.0,6637,31.5,84,6594
5478,15.5,15.0,3971,0.7,6571,31.4,1,6587
5601,15.6,15.0,3955,1.0,6632,31.5,85,6583
5678,15.8,15.0,3962,1.6,6565,31.4,2,6576
5786,15.6,15.0,3967,0.9,6565,31.4,65,6584
5862,15.8,15.0,3954,0.5,6564,30.8,1,6586
6000,15.8,15.0,3955,0.3,6628,31.3,87,6587
6092,15.5,15.0,3980,-1.0,6561,31.1,5,6605
6201,15.7,15.0,3965,-1.0,6629,31.3,89,6602
6279,15.7,15.0,3973,-0.2,6564,31.1,6,6594
6403,15.7,15.0,3959,-0.1,6628,31.5,83,6593
6479,16.0,15.0,3954,0.8,6628,31.4,0,6582
6602,15.8,15.0,3965,0.7,6628,31.7,73,6584
6681,16.0,15.0,3962,0.8,6563,30.9,9,6580
6806,16.1,15.0,3959,1.1,6625,31.2,75,6577
6884,15.5,15.0,3980,-1.5,6560,31.6,10,6609
7007,15.6,15.0,3983,-1.9,6628,31.3,76,6612
7083,15.0,15.0,3995,-3.1,6564,31.9,11,6630
