wall,elapsed_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH,TID,TIN,TST
14:32:56.319,26,39.5,15.0,0.0,4000,1,0.0,6628,10.9,10,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.327,32,39.4,15.0,0.0,4000,1,0.0,6691,11.1,2,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.327,32,39.4,15.0,0.0,4000,1,0.0,6693,11.2,15,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.340,45,39.5,15.0,0.0,4000,1,0.0,6628,10.7,8,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.341,45,39.6,15.0,0.0,4000,1,0.0,6628,10.9,1,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.357,61,39.5,15.0,0.0,4000,1,0.0,6628,10.9,3,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.389,94,39.5,15.0,0.0,4000,1,0.0,6693,11.2,5,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.405,110,39.4,15.0,0.0,4000,1,0.0,6693,11.2,7,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.421,126,39.3,15.0,0.0,4000,1,0.0,6628,11.4,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.437,141,39.2,15.0,0.0,4000,1,0.0,6628,10.7,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.468,173,39.3,15.0,0.0,4000,1,0.0,6693,11.1,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.484,189,39.4,15.0,0.0,4000,1,0.0,6693,10.6,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.509,214,39.5,15.0,0.0,4000,1,0.0,6628,11.4,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.517,222,39.3,15.0,0.0,4000,1,0.0,6628,10.7,1,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.542,247,39.4,15.0,0.0,4000,1,0.0,6628,10.8,3,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.559,264,39.5,15.0,0.0,4000,1,0.0,6694,10.8,5,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.600,305,39.7,15.0,0.0,4000,1,0.0,6694,11.1,7,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.600,305,39.5,15.0,0.0,4000,1,0.0,6629,11.4,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.616,321,39.4,15.0,0.0,4000,1,0.0,6629,11.1,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.649,354,39.3,15.0,0.0,4000,1,0.0,6694,10.8,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.666,370,39.4,15.0,0.0,4000,1,0.0,6694,10.8,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.690,394,39.5,15.0,0.0,4000,1,0.0,6629,11.2,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:56.754,459,39.6,15.0,0.0,4000,1,0.0,6696,11.3,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.770,475,39.4,15.0,0.0,4000,1,0.0,6696,11.4,8,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.786,491,39.3,15.0,0.0,4000,1,0.0,6697,10.8,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.811,516,39.5,15.0,0.0,4000,1,0.0,6631,11.0,1,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.827,532,39.6,15.0,0.0,4000,1,0.0,6632,11.2,3,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.851,556,39.5,15.0,0.0,4000,1,0.0,6697,11.1,5,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.867,572,39.3,15.0,0.0,4000,1,0.0,6696,11.2,7,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.883,588,39.3,15.0,0.0,4000,1,0.0,6632,11.4,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.915,620,39.2,15.0,0.0,4000,1,0.0,6632,10.8,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.931,636,39.3,15.0,0.0,4000,1,0.0,6632,11.1,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.947,652,39.3,15.0,0.0,4000,1,0.0,6696,11.4,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.964,668,39.3,15.0,0.0,4000,1,0.0,6696,11.2,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:56.995,701,39.1,15.0,0.0,4000,1,0.0,6632,11.4,1,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.011,717,39.0,15.0,0.0,4000,1,0.0,6632,11.8,3,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.036,741,38.9,15.0,0.0,4000,1,0.0,6699,11.6,5,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.044,749,38.9,15.0,0.0,4000,1,0.0,6699,11.4,7,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.076,781,38.9,15.0,0.0,4000,1,0.0,6635,11.2,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.092,797,39.0,15.0,0.0,4000,1,0.0,6634,11.9,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.108,813,38.9,15.0,0.0,4000,1,0.0,6635,11.9,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.124,829,38.7,15.0,0.0,4000,1,0.0,6699,11.5,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.156,861,38.7,15.0,0.0,4000,1,0.0,6699,11.5,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.172,877,38.9,15.0,0.0,4000,1,0.0,6635,11.6,1,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.188,893,39.0,15.0,0.0,4000,1,0.0,6635,11.3,3,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.279,989,38.7,15.0,0.0,4000,1,0.0,6699,11.4,3,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.296,1001,38.6,15.0,0.0,4000,1,0.0,6697,12.1,8,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.312,1017,38.6,15.0,0.0,4000,1,0.0,6634,11.9,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.336,1042,38.4,15.0,0.0,4000,1,0.0,6632,12.2,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.354,1058,38.4,15.0,0.0,4000,1,0.0,6696,11.5,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.370,1075,38.4,15.0,0.0,4000,1,0.0,6697,11.9,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.386,1091,38.6,15.0,0.0,4000,1,0.0,6634,12.5,0,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.410,1115,38.6,15.0,0.0,4000,1,0.0,6634,11.9,2,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.426,1131,38.5,15.0,0.0,4000,1,0.0,6634,11.5,4,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.443,1148,38.5,15.0,0.0,4000,1,0.0,6696,12.1,6,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.459,1164,38.7,15.0,0.0,4000,1,0.0,6697,11.5,8,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.492,1198,38.7,15.0,0.0,4000,1,0.0,6632,11.8,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.508,1213,38.7,15.0,0.0,4000,1,0.0,6634,12.0,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.542,1246,38.6,15.0,0.0,4000,1,0.0,6696,11.4,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.542,1246,38.6,15.0,0.0,4000,1,0.0,6696,12.1,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.574,1279,38.6,15.0,0.0,4000,1,0.0,6632,11.9,0,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.590,1295,38.7,15.0,0.0,4000,1,0.0,6632,11.9,2,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.606,1311,38.5,15.0,0.0,4000,1,0.0,6632,12.0,4,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.622,1327,38.5,15.0,0.0,4000,1,0.0,6697,11.4,6,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.655,1359,38.7,15.0,0.0,4000,1,0.0,6697,11.4,8,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.671,1375,38.9,15.0,0.0,4000,1,0.0,6634,11.6,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.686,1392,39.0,15.0,0.0,4000,1,0.0,6634,11.9,9,55.8,0,1,0,2,0.00,0xEE,0,0
14:32:57.760,1464,38.5,15.0,0.0,4000,1,0.0,6632,11.9,0,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.784,1489,38.4,15.0,0.0,4000,1,0.0,6631,12.0,3,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.801,1505,38.4,15.0,0.0,4000,1,0.0,6697,11.8,5,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.833,1538,38.4,15.0,0.0,4000,1,0.0,6696,12.0,7,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.849,1554,38.5,15.0,0.0,4000,1,0.0,6697,11.9,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.865,1570,38.5,15.0,0.0,4000,1,0.0,6631,11.5,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.890,1594,38.5,15.0,0.0,4000,1,0.0,6631,12.1,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.906,1611,38.6,15.0,0.0,4000,1,0.0,6696,11.8,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.923,1627,38.5,15.0,0.0,4000,1,0.0,6696,12.0,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.939,1644,38.4,15.0,0.0,4000,1,0.0,6631,11.9,0,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.972,1677,38.4,15.0,0.0,4000,1,0.0,6631,12.2,2,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:57.990,1694,38.4,15.0,0.0,4000,1,0.0,6696,11.5,4,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.004,1709,38.6,15.0,0.0,4000,1,0.0,6694,11.7,6,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.020,1725,38.7,15.0,0.0,4000,1,0.0,6694,11.6,8,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.052,1757,38.8,15.0,0.0,4000,1,0.0,6629,11.8,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.061,1766,38.7,15.0,0.0,4000,1,0.0,6629,11.9,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.078,1783,38.7,15.0,0.0,4000,1,0.0,6693,11.8,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.110,1815,38.6,15.0,0.0,4000,1,0.0,6694,11.6,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.126,1831,38.9,15.0,0.0,4000,1,0.0,6629,11.2,0,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.150,1855,39.0,15.0,0.0,4000,1,0.0,6629,11.4,2,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.167,1871,39.1,15.0,0.0,4000,1,0.0,6693,11.4,4,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.183,1888,39.1,15.0,0.0,4000,1,0.0,6693,11.9,6,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.263,1968,38.8,15.0,0.0,4000,1,0.0,6693,11.5,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.280,1985,38.8,15.0,0.0,4000,1,0.0,6693,11.6,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.313,2017,39.0,15.0,0.0,4000,1,0.0,6628,10.9,0,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.329,2034,39.2,15.0,0.0,4000,1,0.0,6629,11.4,2,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.345,2050,39.3,15.0,0.0,4000,1,0.0,6693,11.2,4,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.361,2066,39.3,15.0,0.0,4000,1,0.0,6693,11.0,6,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.393,2098,39.2,15.0,0.0,4000,1,0.0,6693,11.5,8,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.410,2114,39.1,15.0,0.0,4000,1,0.0,6628,11.7,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.426,2130,39.0,15.0,0.0,4000,1,0.0,6626,11.6,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.450,2155,38.8,15.0,0.0,4000,1,0.0,6691,11.9,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.467,2172,38.8,15.0,0.0,4000,1,0.0,6690,10.7,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.483,2188,39.3,15.0,0.0,4000,1,0.0,6626,11.5,0,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.500,2205,39.3,15.0,0.0,4000,1,0.0,6626,11.6,2,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.533,2238,39.1,15.0,0.0,4000,1,0.0,6626,11.1,4,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.553,2259,39.1,15.0,0.0,4000,1,0.0,6690,11.1,6,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.565,2269,39.2,15.0,0.0,4000,1,0.0,6690,11.0,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.582,2287,39.3,15.0,0.0,4000,1,0.0,6626,11.6,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.598,2303,39.3,15.0,0.0,4000,1,0.0,6625,11.1,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.631,2336,39.3,15.0,0.0,4000,1,0.0,6691,11.3,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.647,2352,39.2,15.0,0.0,4000,1,0.0,6690,11.2,9,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.664,2368,39.2,15.0,0.0,4000,1,0.0,6625,10.7,1,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.681,2385,39.2,15.0,0.0,4000,1,0.0,6626,11.2,2,56.2,0,1,0,2,0.00,0xEE,0,0
14:32:58.762,2467,39.3,15.0,0.0,4000,1,0.0,6625,11.0,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:58.787,2491,39.3,15.0,0.0,4000,1,0.0,6625,11.3,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:58.803,2508,39.3,15.0,0.0,4000,1,0.0,6690,11.3,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:58.818,2523,39.2,15.0,0.0,4000,1,0.0,6690,11.3,9,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:58.844,2549,39.1,15.0,0.0,4000,1,0.0,6625,11.3,1,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:58.861,2565,39.1,15.0,0.0,4000,1,0.0,6623,10.7,3,55.0,0,1,0,2,0.00,0xEE,0,0
14:32:58.878,2582,39.3,15.0,0.0,4000,1,0.0,6625,10.9,5,55.0,0,1,0,2,0.00,0xEE,0,0
