t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
24,18.1,20.0,1.9,3966,0,1.0,6602,31.5,6,36.0,0,1,6634,2,0.00
28,18.2,20.0,1.8,3972,0,0.5,6666,31.4,7,36.0,0,1,6642,2,0.00
28,18.2,20.0,1.8,3974,0,0.2,6666,31.9,9,36.0,0,1,6647,2,0.00
28,18.3,20.0,1.7,3974,0,0.0,6666,31.5,9,36.0,0,1,6649,2,0.00
28,18.3,20.0,1.7,3977,0,-0.1,6603,31.5,9,36.0,0,1,6652,2,0.00
28,18.3,20.0,1.7,3980,0,-0.2,6603,31.3,9,36.0,0,1,6654,2,0.00
43,18.3,20.0,1.7,3979,0,-0.3,6666,31.6,9,36.0,0,1,6655,2,0.00
59,18.3,20.0,1.7,3975,0,-0.1,6666,31.2,1,36.0,0,1,6652,2,0.00
74,18.4,20.0,1.6,3970,0,0.3,6603,31.0,3,36.0,0,1,6644,2,0.00
89,18.5,20.0,1.5,3966,0,0.7,6605,31.2,5,36.0,0,1,6635,2,0.00
105,18.6,20.0,1.4,3959,0,1.4,6605,30.8,7,36.0,0,1,6621,2,0.00
138,18.6,20.0,1.4,3952,0,1.9,6669,31.4,9,36.0,0,1,6613,2,0.00
153,18.7,20.0,1.3,3946,0,2.3,6668,31.0,9,36.0,0,1,6604,2,0.00
168,18.6,20.0,1.4,3950,0,2.2,6605,31.4,9,36.0,0,1,6607,2,0.00
200,18.5,20.0,1.5,3955,0,1.9,6603,31.7,9,36.0,0,1,6615,2,0.00
215,18.4,20.0,1.6,3965,0,1.1,6602,31.4,9,36.0,0,1,6629,2,0.00
230,18.4,20.0,1.6,3974,0,0.1,6666,31.2,1,36.0,0,1,6647,2,0.00
246,18.5,20.0,1.5,3972,0,0.0,6665,31.1,3,36.0,0,1,6648,2,0.00
338,18.5,20.0,1.5,3974,0,0.0,6602,31.1,87,36.0,0,1,6648,2,0.00
353,18.6,20.0,1.4,3975,0,0.0,6603,31.1,9,36.0,0,1,6646,2,0.00
369,18.7,20.0,1.3,3972,0,0.5,6666,31.4,1,36.0,0,1,6637,2,0.00
400,18.6,20.0,1.4,3969,0,0.4,6666,31.5,2,36.0,0,1,6640,2,0.00
416,18.5,20.0,1.5,3975,0,0.1,6602,31.2,4,36.0,0,1,6648,2,0.00
432,18.3,20.0,1.7,3984,0,-0.6,6603,31.5,6,36.0,0,1,6661,2,0.00
464,18.3,20.0,1.7,3990,0,-1.1,6603,31.5,8,36.0,0,1,6671,2,0.00
479,18.3,20.0,1.7,3994,0,-1.6,6668,31.6,9,36.0,0,1,6680,2,0.00
495,18.3,20.0,1.7,3997,0,-1.9,6668,31.1,9,36.0,0,1,6686,2,0.00
511,18.4,20.0,1.6,3995,0,-1.7,6606,30.8,9,36.0,0,1,6681,2,0.00
541,18.5,20.0,1.5,3990,0,-1.1,6606,31.6,9,36.0,0,1,6669,2,0.00
556,18.7,20.0,1.3,3978,0,0.5,6671,30.8,0,36.0,0,1,6638,2,0.00
571,18.7,20.0,1.3,3965,0,1.0,6672,31.5,2,36.0,0,1,6629,2,0.00
602,18.7,20.0,1.3,3959,0,1.5,6672,31.0,4,36.0,0,1,6620,2,0.00
617,18.6,20.0,1.4,3961,0,1.4,6609,31.7,6,36.0,0,1,6622,2,0.00
633,18.6,20.0,1.4,3962,0,1.4,6607,31.0,8,36.0,0,1,6622,2,0.00
648,18.5,20.0,1.5,3965,0,1.1,6672,31.3,9,36.0,0,1,6630,2,0.00
680,18.6,20.0,1.4,3965,0,0.9,6671,31.4,9,36.0,0,1,6632,2,0.00
696,18.5,20.0,1.5,3969,0,0.5,6607,31.3,9,36.0,0,1,6641,2,0.00
712,18.5,20.0,1.5,3975,0,0.1,6607,30.8,9,36.0,0,1,6647,2,0.00
743,18.6,20.0,1.4,3975,0,0.2,6606,30.9,9,36.0,0,1,6645,2,0.00
759,19.0,20.0,1.0,3958,0,1.4,6671,30.5,1,36.0,0,1,6619,2,0.00
836,19.0,20.0,1.0,3957,0,1.4,6671,30.5,85,36.0,0,1,6619,2,0.00
852,19.1,20.0,0.9,3956,0,1.5,6605,30.6,9,36.0,0,1,6616,2,0.00
884,19.1,20.0,0.9,3951,0,2.0,6606,31.1,9,36.0,0,1,6606,2,0.00
899,18.9,20.0,1.1,3953,0,1.8,6669,30.5,1,36.0,0,1,6611,2,0.00
915,18.8,20.0,1.2,3959,0,1.2,6668,30.9,3,47.6,0,1,6624,2,0.00
947,18.9,20.0,1.1,3962,0,0.8,6603,31.3,5,47.6,0,1,6632,2,0.00
962,18.9,20.0,1.1,3967,0,0.4,6603,30.7,7,47.6,0,1,6637,2,0.00
978,18.8,20.0,1.2,3974,0,-0.0,6603,31.1,9,47.6,0,1,6646,2,0.00
994,18.7,20.0,1.3,3979,0,-0.6,6668,31.2,9,47.6,0,1,6657,2,0.00
1025,18.6,20.0,1.4,3986,0,-1.2,6668,31.3,9,47.6,0,1,6670,2,0.00
1041,18.6,20.0,1.4,3995,0,-1.9,6605,31.4,9,47.6,0,1,6682,2,0.00
1056,18.5,20.0,1.5,4004,0,-2.4,6606,31.3,9,47.6,0,1,6694,2,0.00
1086,18.5,20.0,1.5,4011,0,-3.0,6669,31.2,0,47.6,0,1,6704,2,0.00
1102,18.6,20.0,1.4,4008,0,-2.8,6672,31.1,2,47.6,0,1,6699,2,0.00
1118,18.6,20.0,1.4,4001,0,-2.3,6674,30.6,4,47.6,0,1,6689,2,0.00
1134,18.9,20.0,1.1,3990,0,-1.3,6610,30.6,6,47.6,0,1,6668,2,0.00
1165,19.0,20.0,1.0,3975,0,0.1,6612,30.8,8,47.6,0,1,6643,2,0.00
1180,19.1,20.0,0.9,3958,0,1.4,6677,30.8,9,47.6,0,1,6618,2,0.00
1195,19.1,20.0,0.9,3948,0,2.2,6678,31.4,9,47.6,0,1,6604,2,0.00
1225,18.9,20.0,1.1,3948,0,2.2,6615,31.2,9,47.6,0,1,6607,2,0.00
1242,18.7,20.0,1.3,3955,0,1.7,6613,31.2,9,47.6,0,1,6616,2,0.00
1257,18.5,20.0,1.5,3966,0,0.1,6677,31.4,0,47.6,0,1,6648,2,0.00
1349,18.5,20.0,1.5,3976,0,0.1,6675,31.4,84,47.6,0,1,6648,2,0.00
1365,18.4,20.0,1.6,3977,0,-0.1,6674,31.1,8,47.6,0,1,6652,2,0.00
1380,18.5,20.0,1.5,3985,0,-0.7,6612,31.1,9,47.6,0,1,6663,2,0.00
1410,18.6,20.0,1.4,3988,0,-0.9,6612,31.0,9,47.6,0,1,6666,2,0.00
1427,18.7,20.0,1.3,3980,0,-0.3,6677,31.3,1,47.6,0,1,6654,2,0.00
1442,18.8,20.0,1.2,3973,0,0.1,6677,30.7,3,47.6,0,1,6645,2,0.00
1457,18.7,20.0,1.3,3972,0,0.2,6613,31.3,5,47.6,0,1,6645,2,0.00
1489,18.6,20.0,1.4,3975,0,0.1,6613,31.2,7,47.6,0,1,6648,2,0.00
1503,18.5,20.0,1.5,3982,0,-0.4,6615,31.3,9,47.6,0,1,6658,2,0.00
1518,18.5,20.0,1.5,3985,0,-0.7,6678,31.3,9,47.6,0,1,6664,2,0.00
1550,18.5,20.0,1.5,3987,0,-1.0,6680,30.8,9,47.6,0,1,6670,2,0.00
1566,18.6,20.0,1.4,3986,0,-0.9,6615,30.9,9,47.6,0,1,6666,2,0.00
1581,18.7,20.0,1.3,3981,0,-0.4,6615,31.2,9,47.6,0,1,6655,2,0.00
1613,18.9,20.0,1.1,3963,0,1.1,6681,30.8,1,47.6,0,1,6627,2,0.00
1628,19.0,20.0,1.0,3955,0,1.6,6681,30.9,3,47.6,0,1,6616,2,0.00
1643,19.0,20.0,1.0,3951,0,2.0,6681,31.4,5,47.6,0,1,6609,2,0.00
1658,18.9,20.0,1.1,3952,0,2.1,6616,30.6,7,47.6,0,1,6608,2,0.00
1699,19.0,20.0,1.0,3952,0,2.2,6616,30.7,9,47.6,0,1,6606,2,0.00
1719,19.1,20.0,0.9,3947,0,2.4,6678,30.6,9,47.6,0,1,6601,2,0.00
1719,19.2,20.0,0.8,3941,0,2.7,6678,30.6,9,47.6,0,1,6594,2,0.00
1751,19.2,20.0,0.8,3940,0,2.9,6612,31.0,9,47.6,0,1,6591,2,0.00
1766,19.2,20.0,0.8,3941,0,2.9,6610,30.6,9,47.6,0,1,6591,2,0.00
1843,19.2,20.0,0.8,3940,0,2.8,6668,30.6,73,47.6,0,1,6593,2,0.00
1874,19.2,20.0,0.8,3940,0,2.6,6666,30.3,8,47.6,0,1,6596,2,0.00
1889,19.2,20.0,0.8,3946,0,2.0,6666,30.5,9,47.6,0,1,6607,2,0.00
