t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
22,2.7,15.0,0.0,3300,1,0.0,4193,46.6,74,41.0,1,1,6600,2,0.00
26,2.7,15.0,0.0,3300,1,0.0,4255,46.3,3,41.0,1,1,6600,2,0.00
26,2.7,15.0,0.0,3300,1,0.0,4232,47.1,5,41.0,1,1,6600,2,0.00
26,2.7,15.0,0.0,3300,1,0.0,4293,46.5,7,41.0,1,1,6600,2,0.00
26,2.6,15.0,0.0,3300,1,0.0,4304,46.8,9,41.0,1,1,6600,2,0.00
26,2.6,15.0,0.0,3300,1,0.0,4280,46.6,9,41.0,1,1,6600,2,0.00
45,2.5,15.0,0.0,3300,1,0.0,4339,47.0,9,40.0,1,1,6600,2,0.00
45,2.6,15.0,0.0,3300,1,0.0,4312,46.4,9,40.0,1,1,6600,2,0.00
76,2.5,15.0,0.0,3300,1,0.0,4370,46.9,9,40.0,1,1,6600,2,0.00
91,2.6,15.0,0.0,3300,1,0.0,4343,46.8,1,40.0,1,1,6600,2,0.00
106,2.8,15.0,0.0,3300,1,0.0,4401,46.3,3,40.0,1,1,6600,2,0.00
122,2.7,15.0,0.0,3300,1,0.0,4371,46.5,4,40.0,1,1,6600,2,0.00
137,2.8,15.0,0.0,3300,1,0.0,4429,46.6,6,40.0,1,1,6600,2,0.00
167,2.8,15.0,0.0,3300,1,0.0,4399,46.4,8,40.0,1,1,6600,2,0.00
182,2.8,15.0,0.0,3300,1,0.0,4455,46.5,9,40.0,1,1,6600,2,0.00
197,2.8,15.0,0.0,3300,1,0.0,4424,46.9,9,40.0,1,1,6600,2,0.00
228,2.7,15.0,0.0,3300,1,0.0,4480,46.8,9,40.0,1,1,6600,2,0.00
244,2.5,15.0,0.0,3300,1,0.0,4447,47.1,9,40.0,1,1,6600,2,0.00
260,2.4,15.0,0.0,3300,1,0.0,4503,46.8,0,40.0,1,1,6600,2,0.00
290,2.5,15.0,0.0,3300,1,0.0,4470,46.6,2,40.0,1,1,6600,2,0.00
305,2.6,15.0,0.0,3300,1,0.0,4524,46.5,4,40.0,1,1,6600,2,0.00
321,2.7,15.0,0.0,3300,1,0.0,4491,46.5,5,40.0,0,1,6600,2,0.00
413,2.7,15.0,12.3,4100,1,0.0,4752,47.0,73,40.0,0,1,7200,2,0.00
429,2.6,15.0,12.4,4100,1,0.0,4777,46.6,3,40.0,0,1,7200,2,0.00
444,2.5,15.0,12.5,4100,1,0.0,4894,46.8,5,40.0,0,1,7200,2,0.00
476,2.5,15.0,12.5,4100,1,0.0,4911,46.9,7,40.0,0,1,7200,2,0.00
