t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,0,0,3.6,0,46.8,64
12,0,0,3.6,0,46.4,0
12,0,0,3.6,0,46.8,64
12,0,0,3.6,0,47.3,17
12,0,0,3.6,0,46.8,189
12,0,0,3.6,0,47,3
13,0,0,3.6,0,46.9,5
13,0,0,3.6,0,47.1,67
13,0,0,3.6,0,46.8,2
13,0.2,0,3.6,0,46.5,75
13,0,0,3.6,0,47.6,11
13,0,0,3.6,0,47.2,76
13,0,0,3.6,0,46.5,11
13,0.1,0,3.6,0,47.3,77
13,0,0,3.6,0,46.7,13
13,0.1,0,3.6,0,46.8,60
13,0.1,0,3.6,0,46.3,13
13,0.1,3950,3.6,0,47.4,189
13,0,3950,3.6,0,47.3,15
13,0,3950,3.6,0,47.1,5
13,0.1,3950,3.6,0,46.7,54
13,0.1,3950,3.6,0,47,7
13,0,3950,3.6,0,47.3,55
13,0.1,3950,3.6,0,47,8
13,0,3950,3.6,2244,46.7,55
13,0,3950,3.6,3399,46.4,9
13,0.1,3950,3.6,4305,46.7,56
13,0.4,3950,3.6,4641,46.5,10
13,0,3950,3.6,4983,46.9,57
13,0.1,3950,3.6,5092,47.2,10
13,0.1,3950,3.6,5298,47.2,66
13,0,3950,3.6,5464,47.2,1
13,0,3950,3.6,5599,46.9,67
13,0,3950,3.6,5620,47.3,2
13,0,3950,3.6,5765,47,61
13,0,3950,3.6,5822,46.6,14
13,0.1,3950,3.6,5900,46.4,69
13,0,3950,3.6,5942,47.3,4
13,0,3950,3.6,5997,47.1,69
13,0.1,3950,3.6,6028,47.2,5
13,0.3,3950,3.6,6071,46.6,70
13,0,3950,3.6,6098,46.8,5
13,0,3950,3.6,6076,47,71
13,0,3950,3.6,6096,46.9,6
13,0.1,3950,3.6,6185,46.5,64
13,0.1,3950,3.6,6203,47.6,17
13,0,3950,3.6,6169,46.9,65
13,0.1,3950,3.6,6244,46.8,0
13,0.2,3950,3.6,6269,46.9,74
13,0,3950,3.6,6221,47.1,9
13,0,3950,3.6,6303,47.1,75
13,0,3950,3.6,6255,47.2,10
13,0.1,3950,3.6,6331,46.9,67
13,0.1,3950,3.6,6281,46.8,3
13,0.1,3950,3.6,6357,46.7,68
13,0.1,3950,3.6,6305,46.8,3
13,0.1,3950,3.6,6317,47,69
13,0,3950,3.6,6323,46.9,4
13,0,3950,3.6,6333,47,53
13,0,3950,3.6,6400,47.3,6
13,0.1,3950,3.6,6346,47.1,53
13,0,3950,3.6,6412,46.9,6
13,0.1,3950,3.6,6419,46.8,54
13,0,3950,3.6,6358,46.9,7
13,0.1,3950,3.6,6364,47,54
13,0.1,3950,3.6,6368,47.2,8
13,0.1,3950,3.6,6374,47,55
13,0.1,3950,3.6,6439,47.5,8
13,0.3,3950,3.6,6380,46.8,64
13,0.1,3950,3.6,6380,46.4,17
13,0.2,3950,3.6,6446,47,65
13,0,3950,3.6,6385,47,0
13,0,3950,3.6,6387,46.9,65
13,0,3950,3.6,6450,47,1
13,0,3950,3.6,6451,47,58
13,0,3950,3.6,6389,47.4,12
13,0,3950,3.6,6392,47.2,59
29,0.2,3950,0,6458,47.1,12
278,0.1,4060,0,6444,47.2,197
371,0.1,4140,-0.1,6465,47.1,1
449,0,4225,-0.7,6565,46.8,13
560,0.1,4220,0.3,6634,47,76
638,0,4227,-0.3,6609,47,11
762,0,4227,-0.1,6729,47.4,76
840,0,4227,0.4,6761,46.8,11
965,0,4232,-0.2,6738,46.9,77
1042,0.2,4221,1.8,6761,46.4,12
1166,0.3,4231,0.3,6855,46.6,85
1246,0.8,4206,4.3,6868,45.4,2
1368,1.1,4196,5.7,6811,45.3,86
1445,3.1,4125,15.3,6877,44.4,3
1569,3.2,4158,9.7,6801,43.8,87
1648,5.4,4090,18.6,6795,40.7,4
1772,6.1,4085,18.5,6770,40.7,88
1850,8.9,4019,26.1,6752,37.3,5
1975,9.7,4033,22.7,6782,36.8,89
2053,12.3,3999,25.1,6759,34.3,6
2177,12.8,4024,20.1,6660,33.6,90
2255,14.8,4022,17.9,6706,31.1,7
2363,16.7,3957,26.6,6607,29.3,73
2440,20.5,3900,34,6578,24.8,8
2566,22.6,3900,33.3,6535,23.2,74
2644,26,3900,31.6,6571,20.4,9
2753,27,3900,23.7,6540,19.1,62
2831,29.3,3900,24.6,6457,18,15
2970,30,3920,14.2,6494,16.4,76
3048,31.1,3928,10.8,6423,15.7,12
3172,31.3,3955,5.9,6419,15.8,78
3251,31.2,3984,0.6,6486,15.4,13
3374,31,3994,-1,6499,16.4,79
3450,30.5,4012,-3.9,6446,16.7,14
3578,29.9,4032,-6.6,6468,17.2,80
3653,28.3,4098,-15.9,6545,19.1,15
3761,27.7,4076,-11.5,6516,19.9,81
3856,26.5,4092,-12.9,6599,20.8,16
3963,25.9,4082,-10.8,6623,21.8,82
4041,24.7,4096,-11.7,6641,23,17
4168,24.1,4091,-10.3,6659,23.1,83
4243,23.1,4094,-9.7,6672,24.1,1
4367,22.8,4088,-8.4,6623,24.3,84
4447,22.6,4062,-3.9,6694,24.3,2
4571,22.8,4037,-0.2,6628,24.2,85
4650,23.4,3998,5.2,6622,23.6,3
4773,23.6,3998,4.8,6609,23,87
4850,24.4,3986,5.5,6596,22.4,4
4989,24.6,3985,5.3,6641,22,88
5051,26.5,3901,16.4,6563,20.1,5
5176,26.8,3927,11.6,6593,20.3,89
5253,28.7,3900,17.9,6510,18.2,6
5365,28.9,3900,12.9,6483,17.9,90
5442,30.3,3900,12.9,6528,17.1,7
5569,30.1,3943,3.6,6451,16.3,74
5648,30.4,3946,2.2,6510,16.7,10
5771,30.3,3961,-0.3,6507,16.9,74
5849,29.7,3988,-4.6,6448,17.7,10
5972,29.4,3991,-4.7,6459,17.7,75
6049,28.1,4040,-11.7,6531,19.1,11
6174,27.4,4040,-10.8,6554,19.8,76
6250,25.5,4093,-17.6,6571,21.7,12
6374,25.3,4046,-9.5,6596,22.2,78
6451,23.4,4095,-15.7,6545,23.6,13
6573,22.9,4079,-12.3,6635,24.6,79
6649,21,4132,-18.8,6586,26.2,14
6774,21,4067,-8.1,6671,25.9,80
6851,20,4089,-10.7,6678,27.4,15
6976,20.1,4041,-2.8,6683,27.3,81
7054,19.7,4062,-5.9,6683,27,16
7162,20.2,4009,2.1,6612,27.4,82
7271,20.8,3986,5.1,6669,26.3,17
7365,21,3982,5.3,6589,25.7,83
7441,22.2,3942,10.2,6641,24.3,0
7566,22.7,3934,10.7,6554,24.1,84
7644,23.3,3955,6.2,6606,23.9,1
7766,23.2,3973,3.3,6530,23.5,85
7843,23.7,3969,3,6587,23.4,2
7967,23.6,3984,0.5,6581,23.3,86
8045,23.3,4000,-1.9,6580,23.6,4
8169,23.2,3997,-1.5,6581,24.3,88
8248,23.1,3989,-0.3,6518,24,5
8360,22.9,3997,-1.4,6520,24.3,76
8439,22.7,4003,-2.5,6587,24.6,11
8563,22.3,4016,-4.1,6530,25,90
8642,21.8,4026,-5.3,6537,26,7
8765,21,4054,-9.2,6550,26.2,74
8843,20.8,4016,-2.7,6560,26.3,9
8966,20.3,4045,-6.9,6567,27.1,74
9044,19.3,4055,-7.4,6576,27.7,9
9168,19.3,4031,-3.4,6586,27.6,75
9247,18.7,4054,-6.7,6589,28.2,10
9372,18.7,4033,-3.2,6596,28.3,76
9451,18.4,4039,-3.9,6597,28.9,11
9576,18.1,4047,-4.7,6666,29.3,76
9656,17.9,4025,-1,6605,28.6,12
9766,18.4,3991,3.9,6663,28.3,77
9845,18.2,4012,0.6,6594,28.1,12
9969,18.8,3982,4.8,6650,28.7,78
10047,18.5,4007,0.8,6580,28.6,13
10171,18.9,3987,3.6,6637,27.9,79
10249,18.7,4004,0.9,6631,27.6,14
10375,19,3992,2.5,6625,28.3,80
