t_ms,H_cm,T_cm,E_cm,P,M,D_cms,RPM,RAW_cm,age_ms,F,PRE,CAS,RS,CM,FH,TID,TIN,TST
9,2.7,20.0,-1.1,0,0,2.2,0,46.8,72,40.0,0,1,6595,2,0.00,0xEE,0,0
13,3.0,20.0,-1.1,0,0,2.2,0,46.7,8,40.0,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,46.6,188,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,46.5,73,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,46.4,9,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.8,20.0,-1.1,0,0,2.2,0,46.5,68,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.9,20.0,-1.1,0,0,2.2,0,46.4,3,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,46.5,69,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.8,20.0,-1.1,0,0,2.2,0,46.4,4,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.5,20.0,-1.1,0,0,2.2,0,46.0,77,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.8,20.0,-1.1,0,0,2.2,0,46.7,12,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,46.2,78,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,46.8,13,34.2,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,46.9,60,40.0,0,1,6595,2,0.00,0xEE,0,0
13,2.8,20.0,-1.1,0,0,2.2,0,46.9,14,40.0,0,1,6595,2,0.00,0xEE,0,0
13,2.8,20.0,-1.1,0,0,2.2,0,46.4,53,40.0,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,47.0,7,40.0,0,1,6595,2,0.00,0xEE,0,0
13,2.9,20.0,-1.1,0,0,2.2,0,46.4,62,40.0,0,1,6595,2,0.00,0xEE,0,0
13,2.7,20.0,-1.1,0,0,2.2,0,47.0,15,40.0,0,1,6595,2,0.00,0xEE,0,0
13,2.5,20.0,-1.1,0,0,2.2,0,47.0,64,40.0,0,1,6595,2,0.00,0xEE,0,0
14,2.6,20.0,-1.1,0,0,2.2,0,46.3,17,40.0,0,1,6595,2,0.00,0xEE,0,0
14,2.9,20.0,-1.1,0,0,2.2,0,46.6,65,40.0,0,1,6595,2,0.00,0xEE,0,0
14,2.9,20.0,-1.1,0,0,2.2,0,46.3,9,40.0,0,1,6595,2,0.00,0xEE,0,0
14,2.8,20.0,-1.1,0,0,2.2,0,47.0,10,40.0,0,1,6595,2,0.00,0xEE,0,0
14,2.6,20.0,-1.1,0,0,2.2,0,47.2,10,40.0,0,1,6595,2,0.00,0xEE,0,0
14,2.3,20.0,-1.1,0,0,2.2,0,46.3,0,40.0,0,1,6595,2,0.00,0xEE,0,0
14,2.3,20.0,-1.1,0,0,2.2,0,46.9,2,40.0,0,1,6595,2,0.00,0xEE,0,0
14,2.5,20.0,-1.1,1800,0,2.2,0,46.4,4,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.6,20.0,-1.1,1800,0,2.2,0,46.7,6,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.8,8,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.6,20.0,-1.1,1800,0,2.2,0,46.4,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.2,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.8,20.0,-1.1,1800,0,2.2,0,46.2,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,3.0,20.0,-1.1,1800,0,2.2,0,46.9,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,3.0,20.0,-1.1,1800,0,2.2,0,46.4,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.8,20.0,-1.1,1800,0,2.2,0,47.0,1,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.7,3,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.6,20.0,-1.1,1800,0,2.2,0,46.6,5,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.6,20.0,-1.1,1800,0,2.2,0,46.5,7,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.2,8,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.6,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.8,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.4,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.3,205,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.8,20.0,-1.1,1800,0,2.2,0,46.5,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.9,20.0,-1.1,1800,0,2.2,0,46.2,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.9,20.0,-1.1,1800,0,2.2,0,47.2,1,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.9,20.0,-1.1,1800,0,2.2,0,46.3,2,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.8,20.0,-1.1,1800,0,2.2,0,46.6,4,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.8,20.0,-1.1,1800,0,2.2,0,46.5,6,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.7,8,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.8,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.6,20.0,-1.1,1800,0,2.2,0,46.0,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.2,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.9,20.0,-1.1,1800,0,2.2,0,47.0,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.8,20.0,-1.1,1800,0,2.2,0,46.6,0,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.3,1,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.8,20.0,-1.1,1800,0,2.2,0,45.9,3,42.0,0,1,6595,2,0.00,0xEE,0,0
14,3.0,20.0,-1.1,1800,0,2.2,0,45.9,5,42.0,0,1,6595,2,0.00,0xEE,0,0
14,3.0,20.0,-1.1,1800,0,2.2,0,45.9,75,42.0,0,1,6595,2,0.00,0xEE,0,0
14,3.2,20.0,-1.1,1800,0,2.2,0,46.5,5,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.9,20.0,-1.1,1800,0,2.2,0,46.8,7,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.6,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.3,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.5,9,42.0,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.6,9,41.9,0,1,6595,2,0.00,0xEE,0,0
14,2.7,20.0,-1.1,1800,0,2.2,0,46.6,9,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.4,0,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.5,2,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.8,4,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.6,6,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.3,8,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.5,9,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.5,9,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,47.1,9,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.4,9,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.7,9,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.5,1,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.3,3,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,47.1,5,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.5,7,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.4,68,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.7,9,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.8,0,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.4,2,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,46.6,4,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.3,6,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.7,20.0,-1.1,1800,0,2.2,0,47.2,7,41.9,0,1,6595,2,0.00,0xEE,0,0
15,2.8,20.0,-1.1,1800,0,2.2,0,46.0,9,41.9,0,1,6595,2,0.00,0xEE,0,0
