t_ms,H,T,P,D,RPM,RAW,age,RS
46,28.9,15.0,3964,-2.9,6497,18.5,15,6563
159,28.8,15.0,3970,-3.7,6510,19.0,81,6573
236,27.3,15.0,3979,-6.4,6581,19.7,16,6607
345,27.1,15.0,3988,-7.7,6535,20.1,82,6621
437,25.9,15.0,3992,-7.6,6610,21.0,17,6627
545,25.8,15.0,3992,-7.6,6563,21.5,83,6628
623,25.1,15.0,3984,-5.5,6634,21.9,0,6610
746,25.1,15.0,3970,-4.3,6577,22.9,84,6598
824,24.2,15.0,3968,-3.6,6643,23.5,1,6596
948,23.8,15.0,3973,-4.3,6584,23.5,85,6606
1025,23.9,15.0,3959,-2.5,6651,23.2,3,6586
1150,24.0,15.0,3960,-1.1,6584,23.0,87,6571
1228,23.6,15.0,3945,-0.7,6645,23.1,4,6570
1354,23.4,15.0,3958,-1.0,6578,24.3,88,6573
1431,23.6,15.0,3943,-0.8,6637,23.7,5,6570
1555,23.7,15.0,3947,0.2,6568,23.8,89,6559
1632,23.4,15.0,3937,-0.2,6628,23.6,6,6564
1758,23.5,15.0,3949,-0.1,6555,23.3,90,6563
1837,23.7,15.0,3930,0.7,6616,23.3,7,6553
1945,24.1,15.0,3932,2.0,6544,22.9,74,6537
2024,24.6,15.0,3908,3.4,6603,22.6,9,6520
2148,24.4,15.0,3909,3.2,6530,22.4,74,6523
2224,24.7,15.0,3915,2.0,6589,23.2,9,6533
2347,24.5,15.0,3926,0.4,6583,22.5,75,6549
2426,24.4,15.0,3932,-0.4,6581,22.8,11,6558
2550,24.7,15.0,3932,-0.5,6580,22.2,76,6557
2626,24.8,15.0,3936,0.7,6518,23.0,12,6544
2752,24.3,15.0,3946,-0.6,6581,22.8,77,6560
2829,24.3,15.0,3951,-1.3,6518,23.1,13,6567
2953,24.2,15.0,3953,-1.6,6523,23.2,79,6569
3032,24.0,15.0,3954,-1.6,6525,23.6,14,6571
3156,23.7,15.0,3958,-2.1,6530,23.2,80,6577
3233,23.0,15.0,3954,-3.0,6596,24.1,15,6590
3357,22.9,15.0,3973,-4.0,6540,24.4,81,6600
3435,22.5,15.0,3959,-3.5,6609,25.0,16,6597
3560,22.1,15.0,3964,-4.0,6551,25.4,82,6604
3638,21.6,15.0,3965,-4.0,6621,25.9,17,6607
3746,21.6,15.0,3961,-3.4,6561,25.8,83,6601
3824,20.6,15.0,3966,-4.1,6629,26.7,1,6613
3946,20.6,15.0,3969,-4.2,6570,26.6,84,6615
4024,20.3,15.0,3959,-2.5,6635,27.2,2,6599
4150,20.0,15.0,3962,-2.8,6573,26.6,86,6604
4227,20.0,15.0,3953,-1.4,6635,27.3,3,6590
4353,20.1,15.0,3949,-0.8,6565,27.1,87,6583
4430,20.8,15.0,3925,2.5,6625,26.6,5,6545
4554,20.8,15.0,3919,3.3,6550,26.0,88,6537
4632,21.5,15.0,3907,4.7,6603,25.8,6,6518
4758,21.6,15.0,3908,4.7,6586,25.1,90,6518
4835,23.1,15.0,3900,6.8,6574,23.4,7,6488
4959,23.4,15.0,3900,7.9,6555,23.1,74,6475
5037,24.8,15.0,3900,8.0,6482,21.7,9,6465
5145,25.4,15.0,3900,9.1,6533,21.1,61,6450
5221,26.4,15.0,3900,9.1,6524,20.6,15,6444
5345,27.3,15.0,3900,9.1,6513,19.5,62,6438
5422,28.8,15.0,3900,9.9,6443,18.8,16,6421
5545,29.1,15.0,3900,9.2,6433,17.7,63,6425
5623,30.3,15.0,3900,8.4,6493,16.4,17,6426
5734,30.9,15.0,3900,8.4,6487,16.0,64,6422
5826,31.6,15.0,3900,6.3,6425,16.2,0,6437
5935,31.5,15.0,3900,4.4,6425,15.7,66,6457
