t_ms,R,P
17,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
28,0,3000
29,0,3000
29,0,3000
29,0,3000
29,0,3000
29,0,3000
29,0,3000
29,0,3000
29,0,3000
29,3044,3000
29,3565,3000
29,3945,3000
29,4109,3000
29,4325,3000
29,4432,3000
29,4565,3000
29,4638,3000
29,4689,3000
29,4741,3000
29,4816,3000
29,4905,3000
29,4912,3000
29,4946,3000
29,4991,3000
29,5065,3000
29,5100,3000
29,5121,3000
29,5147,3000
29,5165,3000
29,5138,3000
29,5203,3000
29,5171,3000
29,5181,3000
29,5248,3000
29,5259,3000
29,5222,3000
29,5231,3000
29,5296,3000
29,5303,3000
29,5314,3000
29,5320,3000
29,5330,3000
29,5388,4000
192,6314,4000
268,6574,4000
345,6744,4000
453,6869,4000
531,6978,4000
655,7195,4000
735,7201,4000
860,7369,4000
937,7420,4000
1062,7488,4000
1141,7455,4000
1248,7579,4000
1328,7604,4000
1453,7639,4000
1532,7656,4000
1656,7618,4000
1733,7649,4000
1858,7767,4000
1935,7706,4000
2060,7800,4000
2139,7737,4000
2248,7828,4000
2341,7834,4000
2450,7849,4000
2529,7853,4000
2654,7861,4000
2731,7786,4000
2841,7871,4000
2934,7800,4000
3043,7882,4000
3120,7808,4000
3247,7812,4000
3324,7814,4000
3449,7816,4000
3541,7892,4000
3651,7818,4000
3729,7894,4000
3852,7898,4000
3930,7820,4000
4053,7900,4000
4130,7822,4000
4256,7903,4000
4333,7828,4000
4458,7830,4000
4536,7905,4000
4661,7830,4000
4738,7905,4000
4864,7911,4000
4942,7836,4000
5051,7913,4000
5130,7836,4000
5254,7841,4000
5331,7915,4000
5458,7836,4000
5534,7913,4000
5658,7911,4000
5736,7832,4000
5846,7909,4000
5924,7832,4000
