t_ms,H,P,D
0,15.4,3378,13.6
122,15.7,3420,5
201,15.7,3475,2.1
280,18,3369,12.2
401,18,3440,0.4
479,18.5,3408,3.9
606,18.8,3403,3.9
683,19.3,3394,3.6
809,19.6,3376,5.6
887,19.5,3420,-1.3
996,19.6,3388,3.6
1073,19.7,3396,1.8
1198,20,3378,4
1277,19.4,3436,-3.7
1399,19.2,3439,-3.6
1491,18.7,3456,-4.8
1598,18.7,3433,-0.9
1690,18.2,3469,-4.7
1799,17.9,3460,-3.2
1877,17.7,3475,-4.6
1999,17.3,3492,-6.1
2089,16.8,3529,-10.7
2196,16.8,3455,1.7
2291,16.5,3514,-7.2
2401,16.5,3481,-1.5
2478,16.5,3472,0
2601,16.5,3478,-1
2678,16.8,3471,-0.9
2801,16.7,3476,-1.3
2878,17.6,3414,6.1
3002,17.6,3448,0.4
3079,18.4,3384,8.2
3203,18,3478,-6.1
3280,18.7,3368,10
3403,18.7,3408,3.2
3480,19.6,3373,6.1
3603,19.7,3384,3.8
3680,20.6,3373,2.9
3821,20.8,3355,5.2
3884,21.2,3344,5.7
4009,20.9,3427,-7.4
4103,20.8,3379,0.9
4209,20.3,3455,-10
4288,19.8,3420,-2.6
4398,19.3,3471,-9.3
4477,18.7,3466,-6.6
4604,18.5,3429,0.1
4681,18,3464,-3.9
4805,18,3436,0.7
4882,17.6,3479,-5.1
5007,17.4,3451,0.4
5086,17.2,3489,-5.3
5197,17.4,3446,1.1
5289,17.2,3453,0.4
5397,17.3,3451,0.5
5489,17.6,3427,3.6
5597,17.8,3415,4.3
5691,18.1,3408,5.4
5799,18.5,3394,5.9
5891,18.8,3411,2.4
5984,19,3394,4.6
6077,19.1,3409,1.8
6202,19.3,3382,5.3
6279,19.4,3381,5.1
6403,20,3326,12.4
6479,19.9,3413,-2
6603,19.9,3406,-0.5
6696,20.2,3413,-2.8
6805,20.1,3408,-1.6
6881,19.8,3420,-2.8
7009,19.5,3462,-8.7
7085,19.1,3458,-6.7
7206,18.9,3443,-3.5
7284,18.5,3464,-5.8
7407,18.2,3455,-2.6
7484,17.6,3515,-11.2
7608,17.7,3443,0.5
7687,17.7,3429,2.8
7811,17.7,3432,1.2
7887,18,3437,0.3
