t_ms,H,T,P,D,RPM,RAW,age,RS
95,13.5,15.0,3996,-2.8,6650,29.2,14,6660
191,14.1,15.0,3989,-2.3,6659,29.2,79,6650
284,13.2,15.0,3997,-2.6,6662,29.5,14,6661
393,13.6,15.0,3992,-2.0,6602,29.5,80,6652
471,13.1,15.0,3992,-1.6,6669,30.1,15,6653
592,13.3,15.0,4002,-1.2,6606,30.0,81,6647
685,12.9,15.0,3991,-1.2,6671,30.3,17,6650
793,12.9,15.0,4004,-1.3,6612,29.9,82,6651
872,12.8,15.0,4002,-0.7,6613,30.5,18,6647
979,12.7,15.0,3992,-1.2,6681,30.0,70,6653
1058,12.9,15.0,3981,0.4,6678,29.9,6,6634
1200,13.1,15.0,3974,1.2,6674,30.5,84,6625
1277,13.4,15.0,3981,2.0,6605,29.8,2,6614
1414,13.3,15.0,3969,1.8,6666,29.5,85,6617
1476,14.2,15.0,3954,3.3,6662,28.8,3,6593
1600,14.2,15.0,3948,4.0,6656,28.7,86,6586
1676,14.7,15.0,3943,4.2,6651,28.4,3,6579
1801,14.6,15.0,3949,3.3,6645,28.7,87,6589
1879,14.5,15.0,3970,0.2,6643,28.7,4,6621
2002,14.4,15.0,3977,-0.7,6643,28.7,88,6631
2079,13.9,15.0,3995,-2.7,6644,29.6,5,6657
2203,13.7,15.0,4002,-3.6,6654,29.4,89,6667
2281,13.4,15.0,4003,-3.2,6659,29.1,6,6667
2404,13.4,15.0,4014,-2.9,6602,29.4,90,6663
2481,13.2,15.0,3990,-1.0,6669,30.1,7,6646
2605,13.2,15.0,4003,-1.0,6607,29.8,91,6646
2682,13.1,15.0,3986,-0.2,6609,30.0,8,6640
2805,13.0,15.0,4003,-0.7,6607,29.9,73,6645
2882,12.9,15.0,4003,-0.6,6610,30.8,9,6646
2990,12.6,15.0,4010,-1.5,6613,30.7,74,6658
3084,12.9,15.0,4004,-0.8,6616,30.6,10,6648
3192,12.9,15.0,3983,0.3,6683,30.3,75,6636
3286,13.0,15.0,3988,1.3,6618,30.3,11,6625
3393,12.7,15.0,3984,0.2,6678,29.7,76,6640
3485,12.6,15.0,3991,-0.8,6680,30.1,12,6651
3595,12.6,15.0,3994,-1.2,6681,30.8,77,6655
3671,12.7,15.0,3985,0.0,6683,30.6,13,6641
3794,12.6,15.0,4000,-0.3,6621,29.9,71,6647
3871,12.6,15.0,3996,0.2,6621,30.5,7,6641
3995,12.6,15.0,3997,-0.0,6621,30.6,79,6643
4073,12.6,15.0,3999,-0.2,6619,30.3,15,6646
4199,12.8,15.0,3993,0.4,6618,30.2,81,6637
4277,13.0,15.0,3987,1.1,6616,30.6,16,6629
4402,12.6,15.0,3981,0.3,6680,30.7,82,6640
4480,12.6,15.0,3999,-0.3,6613,30.4,17,6647
4604,13.1,15.0,3978,0.5,6674,29.9,83,6635
4680,13.2,15.0,3975,1.2,6674,29.8,0,6626
4803,13.3,15.0,3968,1.7,6669,29.8,84,6620
4881,13.4,15.0,3971,1.3,6665,29.7,1,6624
4991,13.3,15.0,3973,1.0,6600,30.1,85,6627
5082,13.4,15.0,3977,0.3,6663,29.6,2,6633
5192,13.5,15.0,3989,0.5,6596,29.8,85,6630
5284,13.7,15.0,3970,1.2,6662,29.2,3,6621
5406,13.8,15.0,3980,1.4,6596,28.9,86,6618
5486,13.5,15.0,3993,-0.2,6594,29.3,3,6637
5593,13.7,15.0,3993,-0.3,6596,29.5,87,6637
5672,14.0,15.0,3982,1.1,6596,28.1,4,6619
5797,13.8,15.0,3983,1.1,6593,29.6,88,6621
5874,14.0,15.0,3984,0.8,6593,29.2,5,6622
5997,13.9,15.0,3974,0.5,6659,29.0,82,6627
6074,13.7,15.0,3992,-0.2,6657,29.5,17,6635
6200,14.1,15.0,3977,-0.2,6660,28.8,90,6632
6276,13.9,15.0,3990,0.1,6594,28.3,7,6631
6400,13.8,15.0,3982,-0.5,6660,28.8,74,6638
6476,13.7,15.0,3994,-0.5,6662,29.3,9,6638
6587,13.8,15.0,3983,-0.7,6602,29.2,66,6640
6666,13.8,15.0,3979,-0.2,6669,29.1,2,6635
6791,13.9,15.0,3975,0.2,6669,29.2,74,6630
6884,13.8,15.0,3977,0.0,6671,29.3,9,6633
6992,13.9,15.0,3988,0.1,6606,28.7,68,6631
7068,13.4,15.0,3984,-0.9,6606,29.5,3,6646
7191,13.7,15.0,3997,-1.1,6606,29.1,76,6645
7282,13.5,15.0,3982,-0.6,6674,29.4,11,6642
7404,13.4,15.0,3996,-0.8,6613,30.0,77,6644
7480,13.5,15.0,3998,-1.1,6612,29.0,12,6647
