t_ms,H,T,P,D,RPM,RAW,age,RS
77,14.0,15.0,4000,0.7,6665,33.5,2,6623
175,13.6,15.0,4019,-0.0,6603,33.1,79,6634
268,14.0,15.0,4013,0.4,6603,33.3,15,6625
390,13.9,15.0,4011,0.8,6602,33.5,88,6623
466,13.9,15.0,4002,0.2,6602,33.3,5,6629
591,13.7,15.0,4018,-0.2,6603,33.1,89,6635
666,13.6,15.0,4010,-0.8,6605,33.5,6,6642
788,13.6,15.0,4024,-1.0,6605,33.4,90,6644
865,13.7,15.0,4017,-0.1,6606,33.5,7,6633
987,13.6,15.0,4005,-0.2,6671,33.7,74,6635
1063,13.7,15.0,4018,-0.1,6606,34.0,9,6635
1187,13.0,15.0,4018,-1.5,6672,33.9,74,6654
1265,13.9,15.0,4010,0.9,6674,33.5,9,6622
1388,13.6,15.0,3995,1.5,6669,33.4,75,6618
1466,13.8,15.0,3996,1.1,6668,33.6,10,6622
1588,13.4,15.0,4006,-0.0,6666,33.5,76,6636
1665,13.7,15.0,4002,0.2,6668,33.4,11,6631
1790,13.8,15.0,4000,0.5,6603,33.4,77,6627
1867,13.7,15.0,4002,0.1,6668,33.2,13,6632
1993,13.7,15.0,4017,-0.1,6602,33.6,79,6634
2070,13.8,15.0,4005,-0.3,6666,33.2,14,6635
2181,13.7,15.0,4016,0.0,6600,33.7,80,6633
2272,13.9,15.0,3999,0.6,6600,33.3,15,6626
2381,13.7,15.0,4003,0.3,6663,33.4,68,6631
2457,13.6,15.0,4009,-0.6,6663,33.1,3,6641
2584,13.8,15.0,4017,-0.1,6662,33.5,82,6633
2662,13.8,15.0,4015,0.4,6596,33.3,0,6629
2786,13.8,15.0,4016,0.4,6657,33.3,83,6629
2863,13.9,15.0,4009,1.0,6594,33.1,1,6623
2987,13.8,15.0,4002,0.4,6659,33.2,85,6628
3064,14.0,15.0,4015,0.4,6591,32.9,2,6627
3186,14.1,15.0,4001,0.5,6656,33.1,86,6625
3279,14.0,15.0,4018,0.0,6653,33.0,3,6631
3387,14.1,15.0,4006,-0.0,6651,32.7,87,6630
3465,14.1,15.0,4015,0.7,6648,33.1,5,6623
3573,14.2,15.0,4018,0.3,6584,31.8,81,6626
3666,15.0,15.0,3985,2.7,6647,32.3,17,6595
3789,15.0,15.0,3983,3.0,6641,30.7,90,6592
3867,15.5,15.0,3977,3.3,6637,31.0,7,6583
3992,16.4,15.0,3960,5.0,6565,30.1,74,6557
4069,16.2,15.0,3971,3.3,6625,30.5,9,6575
4192,16.5,15.0,3976,2.5,6621,30.1,74,6581
4269,16.3,15.0,3991,0.3,6619,31.2,9,6604
4392,16.6,15.0,3994,-0.4,6622,30.1,75,6609
4470,15.7,15.0,4027,-2.6,6623,31.0,10,6640
4594,16.1,15.0,4015,-2.9,6632,30.8,76,6639
4672,15.2,15.0,4034,-2.9,6637,31.5,12,6648
4795,15.5,15.0,4021,-3.1,6644,31.5,77,6646
4872,14.7,15.0,4026,-3.1,6651,31.7,13,6655
4980,15.5,15.0,4024,-1.5,6591,31.2,71,6630
5060,14.6,15.0,4019,-1.9,6657,31.6,7,6643
5183,15.5,15.0,4013,0.2,6594,32.1,73,6614
5260,14.7,15.0,4028,-1.3,6594,32.2,8,6637
5386,15.6,15.0,3998,0.4,6594,31.6,81,6611
5464,14.9,15.0,4006,-0.2,6656,31.5,16,6623
5590,15.8,15.0,4001,1.5,6590,31.3,82,6597
5668,15.4,15.0,3994,1.0,6587,30.9,17,6607
5792,16.0,15.0,3996,2.0,6584,31.0,83,6591
5869,16.0,15.0,3982,1.7,6583,31.0,0,6593
5981,15.9,15.0,4002,0.9,6583,31.5,84,6603
6060,15.2,15.0,4018,-3.2,6584,31.3,1,6650
6184,15.7,15.0,4026,-2.6,6590,31.8,85,6640
6262,14.1,15.0,4057,-6.0,6594,32.4,3,6689
6385,14.5,15.0,4054,-5.7,6671,32.7,87,6682
6461,13.8,15.0,4050,-4.3,6612,32.5,4,6676
6585,14.1,15.0,4040,-3.0,6684,32.9,88,6660
6661,13.5,15.0,4038,-2.2,6621,32.8,5,6657
6782,13.9,15.0,4012,-0.8,6688,33.0,89,6639
6859,13.3,15.0,4019,-1.2,6684,33.2,6,6650
6981,13.7,15.0,4011,-0.6,6623,33.0,90,6640
7073,13.4,15.0,4009,-0.0,6687,33.5,7,6637
7182,13.7,15.0,4017,0.2,6621,32.9,73,6631
7260,13.5,15.0,4003,0.4,6622,33.5,9,6631
7385,13.7,15.0,4017,-0.1,6623,33.0,74,6635
7460,13.2,15.0,4025,-0.9,6621,33.4,10,6648
7583,13.6,15.0,4009,-0.9,6687,33.0,69,6644
7661,13.9,15.0,3994,1.0,6688,33.5,4,6623
7783,13.6,15.0,3996,0.8,6685,33.6,70,6627
7860,13.7,15.0,3995,0.7,6683,33.6,6,6627
7982,13.5,15.0,4005,-0.6,6681,33.4,78,6642
8059,14.1,15.0,3991,0.9,6680,33.3,14,6621
8184,13.9,15.0,3989,1.4,6609,33.0,80,6618
8261,14.2,15.0,3987,1.4,6672,32.9,15,6615
8368,14.1,15.0,3989,1.1,6668,33.1,68,6619
8461,14.3,15.0,3989,0.8,6665,32.8,3,6619
8583,14.1,15.0,4006,0.5,6597,33.1,82,6625
8675,14.6,15.0,3986,1.0,6597,32.5,18,6615
8783,14.3,15.0,4002,0.8,6596,33.0,83,6620
8861,14.5,15.0,4009,-0.0,6594,32.5,1,6627
8984,14.3,15.0,3995,-0.0,6660,33.2,78,6629
9062,13.9,15.0,4022,-1.8,6660,32.9,13,6651
9185,14.4,15.0,4009,-0.3,6663,32.8,86,6631
9262,13.8,15.0,4019,-1.1,6596,33.1,3,6644
9386,13.8,15.0,4008,-1.4,6663,32.5,87,6647
9462,13.9,15.0,4015,-0.5,6597,32.9,5,6637
9586,14.1,15.0,3997,0.1,6663,32.7,88,6629
9663,14.1,15.0,4004,1.1,6662,33.3,6,6620
9785,13.9,15.0,3996,0.6,6660,33.0,90,6627
9863,13.8,15.0,4002,-0.4,6660,33.3,7,6637
9985,13.8,15.0,4020,-1.0,6596,33.1,66,6644
10077,14.5,15.0,3988,1.5,6596,32.4,2,6612
10185,14.1,15.0,3988,1.8,6590,33.2,74,6612
10265,14.5,15.0,3990,1.1,6653,32.4,10,6615
10389,14.5,15.0,3987,1.7,6586,33.2,76,6610
10466,14.5,15.0,4000,-0.4,6650,31.6,11,6631
10587,15.3,15.0,3987,2.8,6584,32.1,77,6590
10666,14.1,15.0,4010,-1.5,6647,32.9,13,6646
10790,14.3,15.0,4027,-2.4,6589,32.2,79,6652
10868,13.7,15.0,4023,-2.9,6593,33.2,14,6663
10993,14.1,15.0,4030,-2.4,6599,32.0,80,6655
11071,14.1,15.0,4018,-0.5,6602,33.0,15,6636
11191,13.7,15.0,4023,-0.8,6603,32.5,81,6643
11268,14.0,15.0,4014,0.3,6605,32.7,17,6629
11377,13.7,15.0,4005,-0.1,6671,33.0,75,6636
11455,13.8,15.0,4009,-0.8,6672,33.1,11,6643
11564,13.7,15.0,4018,-0.2,6607,33.8,63,6637
11643,13.6,15.0,4020,-0.5,6607,32.9,16,6641
11782,13.7,15.0,4014,0.3,6609,33.5,78,6632
11861,13.5,15.0,4008,-0.6,6674,33.6,13,6643
11985,13.4,15.0,4012,-1.1,6610,33.4,86,6649
