t_ms,H,T,P,D,RPM,RAW,age,RS
112,13.7,15.0,4055,-0.7,6616,33.5,78,6608
178,13.3,15.0,4059,-1.2,6618,33.5,14,6618
287,13.3,15.0,4043,-1.2,6684,33.8,80,6617
378,13.3,15.0,4050,-0.4,6622,34.1,15,6610
488,13.2,15.0,4037,-0.8,6690,33.4,81,6615
580,12.9,15.0,4037,-0.9,6691,32.9,16,6619
691,13.5,15.0,4022,0.4,6690,33.2,82,6600
767,13.5,15.0,4015,1.2,6687,32.7,17,6591
892,13.8,15.0,4019,1.9,6616,33.0,83,6582
970,14.0,15.0,4000,2.2,6680,33.3,1,6577
1079,13.6,15.0,4006,1.3,6678,32.8,71,6589
1159,13.9,15.0,4006,0.8,6675,33.1,7,6592
1299,13.8,15.0,4022,-0.1,6609,33.4,86,6602
1378,13.6,15.0,4033,-1.6,6606,33.1,3,6619
1487,13.7,15.0,4015,-1.0,6666,33.1,80,6612
1566,13.9,15.0,4018,0.3,6663,33.4,16,6598
1687,13.7,15.0,4006,0.3,6657,33.0,81,6599
1766,13.8,15.0,4007,0.1,6650,32.7,17,6600
1891,14.0,15.0,3999,1.0,6647,32.8,90,6589
1969,13.8,15.0,4016,0.3,6648,32.4,7,6598
2092,14.3,15.0,3993,1.1,6650,32.6,74,6585
2171,14.0,15.0,3999,0.4,6648,32.7,9,6595
2296,14.0,15.0,4001,-0.1,6650,32.8,74,6601
2375,13.8,15.0,4005,-0.7,6650,32.4,9,6608
2499,14.3,15.0,3995,0.1,6651,32.7,75,6595
2577,14.1,15.0,3996,0.1,6648,32.6,10,6597
2701,14.0,15.0,3997,0.1,6645,32.9,76,6598
2779,14.2,15.0,3997,-0.1,6643,32.0,11,6599
2888,14.3,15.0,3989,1.0,6574,32.9,77,6586
2978,14.1,15.0,3997,-0.2,6637,32.1,12,6600
3090,14.1,15.0,3998,-0.1,6570,32.1,78,6600
3169,14.5,15.0,3987,1.2,6629,32.2,13,6583
3295,14.6,15.0,3984,1.7,6560,32.0,79,6576
3372,14.6,15.0,3986,1.5,6618,32.6,14,6579
3496,14.7,15.0,3989,0.9,6615,31.8,80,6584
3574,15.4,15.0,3976,2.4,6610,31.4,15,6561
3700,15.4,15.0,3974,2.9,6605,31.0,81,6558
3776,16.1,15.0,3964,3.7,6597,30.3,16,6542
3901,16.6,15.0,3953,4.9,6587,29.9,82,6524
3978,17.1,15.0,3963,4.9,6517,29.4,17,6519
4088,17.7,15.0,3942,5.6,6570,29.0,83,6506
4167,18.3,15.0,3958,4.7,6501,28.4,0,6510
4293,18.4,15.0,3958,4.4,6496,28.7,84,6512
4370,18.4,15.0,3960,2.0,6496,28.6,2,6535
4494,18.2,15.0,3984,0.5,6499,28.4,85,6552
4572,17.7,15.0,3994,-2.5,6567,29.7,3,6587
4696,17.1,15.0,4012,-4.5,6580,29.4,87,6613
4774,15.9,15.0,4043,-8.0,6590,31.0,4,6660
4900,15.8,15.0,4049,-8.6,6612,30.3,88,6667
4978,15.1,15.0,4047,-5.6,6625,31.7,5,6643
5102,15.0,15.0,4030,-5.0,6638,32.4,89,6638
5180,14.2,15.0,4031,-4.3,6645,32.6,6,6640
5290,14.1,15.0,4029,-4.0,6654,32.6,90,6637
5370,13.7,15.0,4020,-2.3,6659,33.3,7,6625
5494,13.7,15.0,4018,-2.1,6599,32.9,74,6623
5573,13.1,15.0,4023,-2.4,6666,33.6,9,6631
5697,13.1,15.0,4024,-2.6,6605,33.7,74,6634
5775,13.0,15.0,4019,-1.7,6669,33.5,9,6626
5901,13.3,15.0,4017,0.1,6600,33.3,75,6604
5980,12.6,15.0,4017,-1.2,6663,33.9,10,6625
6087,13.3,15.0,4018,-0.2,6597,33.5,76,6608
6182,13.5,15.0,4006,1.5,6593,33.5,11,6590
6290,13.2,15.0,4007,1.4,6654,33.8,70,6593
6366,13.6,15.0,4002,1.8,6586,33.3,6,6585
6493,13.9,15.0,3996,2.4,6576,33.0,78,6576
6570,14.3,15.0,3992,2.7,6571,32.3,14,6570
6696,14.5,15.0,3986,3.2,6563,32.3,80,6562
6775,14.7,15.0,3991,2.4,6557,32.0,15,6569
6900,14.9,15.0,3991,2.2,6550,31.9,80,6569
6979,15.1,15.0,3994,1.6,6545,31.0,16,6572
7087,15.7,15.0,3982,3.0,6538,31.4,82,6553
7180,16.2,15.0,3963,3.6,6593,30.9,17,6541
7287,16.6,15.0,3969,4.5,6518,29.7,83,6529
7381,17.7,15.0,3947,5.9,6576,28.4,0,6503
7489,18.1,15.0,3928,7.4,6561,29.3,84,6484
7567,18.0,15.0,3953,3.7,6553,28.7,1,6522
7691,18.3,15.0,3957,3.1,6545,28.4,85,6525
7768,19.0,15.0,3967,2.8,6480,28.1,3,6520
7890,18.9,15.0,3970,2.6,6480,27.8,87,6524
7968,18.8,15.0,3972,0.5,6482,28.0,4,6546
8094,18.7,15.0,3991,-0.3,6489,28.6,88,6555
8173,17.9,15.0,4003,-3.3,6557,28.7,5,6592
8299,17.5,15.0,4017,-4.9,6574,29.6,89,6612
8378,16.1,15.0,4043,-7.5,6586,30.5,7,6652
8503,16.2,15.0,4046,-7.9,6609,30.7,74,6655
8581,15.1,15.0,4059,-6.8,6622,31.7,9,6655
8692,15.1,15.0,4037,-5.5,6640,32.1,73,6643
8785,14.6,15.0,4040,-3.6,6648,32.3,9,6628
8894,14.4,15.0,4021,-2.6,6656,32.5,74,6620
8972,13.9,15.0,4023,-2.5,6659,33.0,10,6624
9080,13.8,15.0,4034,-2.4,6600,33.2,62,6624
9158,13.5,15.0,4033,-2.1,6602,33.5,16,6624
9285,13.4,15.0,4034,-2.2,6671,32.6,64,6627
9362,13.8,15.0,4013,0.4,6606,33.1,17,6596
9502,13.6,15.0,4011,0.7,6600,33.0,78,6596
9580,13.6,15.0,3998,0.6,6662,33.2,13,6597
9688,13.5,15.0,4015,0.1,6591,32.3,72,6602
9768,14.3,15.0,3994,2.6,6586,32.5,7,6570
9889,14.4,15.0,3989,3.0,6576,33.0,80,6564
