t_ms,H,T,P,D,RPM,RAW,age,RS
66,15.2,15.0,4031,-0.1,6613,34.5,84,6639
136,15.0,15.0,4035,-0.8,6613,34.5,1,6646
246,15.2,15.0,4029,-0.2,6677,34.5,78,6639
324,14.9,15.0,4034,-0.5,6675,34.8,13,6643
463,15.4,15.0,4021,1.1,6671,34.3,86,6625
541,15.4,15.0,4017,1.7,6603,34.1,3,6617
649,15.6,15.0,4012,2.1,6663,34.5,87,6612
743,15.8,15.0,4011,1.7,6662,34.0,4,6611
852,15.7,15.0,4017,0.9,6659,33.8,87,6621
929,16.0,15.0,4019,0.7,6656,33.8,4,6621
1054,16.1,15.0,4014,1.1,6653,33.1,88,6616
1130,16.5,15.0,3998,3.1,6650,33.3,5,6588
1252,16.3,15.0,4004,2.3,6647,33.1,89,6599
1329,16.7,15.0,4011,1.2,6647,33.1,6,6609
1452,16.6,15.0,4012,0.7,6581,33.3,90,6616
1531,16.2,15.0,4037,-2.4,6648,33.7,7,6656
1656,16.1,15.0,4051,-3.8,6590,33.5,74,6673
1734,16.2,15.0,4024,-0.3,6660,33.1,9,6631
1859,16.3,15.0,4010,1.6,6597,33.9,73,6607
1937,16.2,15.0,4023,-0.3,6663,33.3,8,6630
2061,15.8,15.0,4036,-1.7,6602,34.0,74,6651
2139,15.4,15.0,4052,-3.3,6605,34.8,9,6676
2261,15.3,15.0,4054,-3.4,6612,34.5,75,6677
2339,14.9,15.0,4044,-2.2,6616,34.6,10,6663
2464,14.8,15.0,4045,-2.0,6685,35.1,76,6660
2542,14.2,15.0,4060,-3.5,6623,35.3,11,6685
2651,14.5,15.0,4042,-1.8,6691,35.5,77,6658
2744,14.4,15.0,4024,0.6,6693,34.9,12,6629
2854,14.6,15.0,4010,2.0,6691,35.3,78,6612
2929,14.2,15.0,4038,-1.4,6687,35.1,13,6659
3055,14.3,15.0,4040,-1.6,6623,35.2,79,6661
3134,14.5,15.0,4019,0.5,6688,35.3,14,6630
3258,14.6,15.0,4014,1.6,6621,35.1,80,6618
3336,14.5,15.0,4021,0.5,6616,35.0,15,6630
3443,14.5,15.0,4022,0.1,6680,35.1,74,6635
3535,14.3,15.0,4035,-1.1,6678,35.6,9,6656
3659,14.1,15.0,4052,-3.1,6681,35.5,82,6682
3737,13.7,15.0,4056,-3.1,6621,35.5,17,6684
3846,14.0,15.0,4035,-1.0,6623,35.9,76,6656
3922,13.9,15.0,4024,0.6,6687,35.7,11,6637
