t_ms,H,T,P,D,RPM,RAW,age,RS
63,16.8,15.0,3988,-0.2,6587,33.2,73,6621
129,16.7,15.0,3982,0.1,6651,33.1,9,6615
251,17.0,15.0,3964,1.6,6586,33.2,74,6585
328,17.1,15.0,3967,1.2,6647,32.9,10,6591
436,17.0,15.0,3973,0.8,6580,33.5,69,6598
515,17.0,15.0,3983,-0.3,6578,33.8,4,6617
639,16.6,15.0,4009,-2.3,6581,33.7,77,6658
717,16.9,15.0,3976,0.4,6586,33.7,12,6605
844,16.7,15.0,3988,-0.2,6650,33.4,71,6619
921,16.9,15.0,3971,0.9,6586,33.5,7,6596
1031,16.7,15.0,3984,-0.0,6647,33.0,73,6615
1123,16.8,15.0,3982,-0.0,6583,33.7,8,6614
1248,16.8,15.0,3987,-0.2,6581,33.1,81,6617
1328,16.5,15.0,3996,-1.1,6584,33.8,16,6635
1437,16.8,15.0,3990,-0.6,6586,33.2,82,6624
1530,16.9,15.0,3963,1.6,6586,33.7,17,6582
1639,16.8,15.0,3972,0.8,6645,33.3,76,6597
1718,16.4,15.0,4013,-2.5,6645,33.7,12,6662
1843,16.7,15.0,4002,-1.6,6651,33.6,84,6642
1920,16.7,15.0,3978,0.6,6590,33.5,2,6602
2045,16.8,15.0,3968,1.3,6651,33.6,79,6588
2124,16.7,15.0,3973,0.7,6648,34.1,14,6600
2250,16.3,15.0,4000,-1.5,6650,33.5,87,6644
2327,16.6,15.0,3981,0.3,6589,34.0,4,6607
2452,16.3,15.0,3989,-0.4,6650,34.0,88,6624
2530,16.3,15.0,3994,-1.0,6651,33.9,5,6634
2640,16.5,15.0,3986,-0.5,6653,33.2,89,6621
2718,16.5,15.0,3970,1.1,6651,34.4,7,6593
2842,16.4,15.0,3976,0.5,6648,33.6,90,6606
2920,16.4,15.0,3994,-1.2,6648,34.2,8,6635
3030,16.3,15.0,3987,-0.6,6587,34.2,66,6625
3122,16.8,15.0,3952,2.3,6653,33.7,2,6567
3246,16.5,15.0,3955,2.0,6580,33.9,75,6575
